Gene stable ID,GO term accession,GO term name,GO term definition,GO term evidence code,GO domain
ENSRNA050005703,GO:0035195,miRNA-mediated post-transcriptional gene silencing,"A post-transcriptional gene silencing pathway in which regulatory microRNAs (miRNAs) elicit silencing of specific target genes. miRNAs are endogenous 21-24 nucleotide small RNAs processed from stem-loop RNA precursors (pre-miRNAs). Once incorporated into a RNA-induced silencing complex (RISC), miRNAs can downregulate protein production by either of two posttranscriptional mechanisms: endonucleolytic cleavage of the RNA (often mRNA) or mRNA translational repression, usually accompanied by poly-A tail shortening and subsequent degradation of the mRNA. miRNAs are present in all the animals and in plants, whereas siRNAs are present in lower animals and in plants.",IEA,biological_process
ENSRNA050005703,GO:0016442,RISC complex,"A ribonucleoprotein complex that contains members of the Argonaute family of proteins, small interfering RNAs (siRNAs) or microRNAs (miRNAs), and miRNA or siRNA-complementary mRNAs, in addition to a number of accessory factors. The RISC complex is involved in posttranscriptional repression of gene expression through downregulation of translation or induction of mRNA degradation.",IEA,cellular_component
ENSRNA050005709,,,,,
ENSRNA050005711,GO:0030627,pre-mRNA 5'-splice site binding,Binding to a pre-mRNA 5' splice site sequence.,IEA,molecular_function
ENSRNA050005711,GO:0000395,mRNA 5'-splice site recognition,Recognition of the intron 5'-splice site by components of the assembling spliceosome.,IEA,biological_process
ENSRNA050005711,GO:0005685,U1 snRNP,"A ribonucleoprotein complex that contains small nuclear RNA U1, a heptameric ring of Sm proteins, as well as several proteins that are unique to the U1 snRNP, most of which remain associated with the U1 snRNA both while the U1 snRNP is free or assembled into a series of spliceosomal complexes.",IEA,cellular_component
ENSRNA050005713,GO:0045131,pre-mRNA branch point binding,"Binding to a pre-mRNA branch point sequence, located upstream of the 3' splice site.",IEA,molecular_function
ENSRNA050005713,GO:0000348,mRNA branch site recognition,Recognition of the pre-mRNA branch site sequence by components of the assembling spliceosome.,IEA,biological_process
ENSRNA050005713,GO:0005686,U2 snRNP,"A ribonucleoprotein complex that contains small nuclear RNA U2, a heptameric ring of Sm proteins, as well as several proteins that are unique to the U2 snRNP, most of which remain associated with the U2 snRNA both while the U2 snRNP is free or assembled into a series of spliceosomal complexes.",IEA,cellular_component
ENSRNA050005715,GO:0030627,pre-mRNA 5'-splice site binding,Binding to a pre-mRNA 5' splice site sequence.,IEA,molecular_function
ENSRNA050005715,GO:0000395,mRNA 5'-splice site recognition,Recognition of the intron 5'-splice site by components of the assembling spliceosome.,IEA,biological_process
ENSRNA050005715,GO:0005685,U1 snRNP,"A ribonucleoprotein complex that contains small nuclear RNA U1, a heptameric ring of Sm proteins, as well as several proteins that are unique to the U1 snRNP, most of which remain associated with the U1 snRNA both while the U1 snRNP is free or assembled into a series of spliceosomal complexes.",IEA,cellular_component
ENSRNA050005716,GO:0045131,pre-mRNA branch point binding,"Binding to a pre-mRNA branch point sequence, located upstream of the 3' splice site.",IEA,molecular_function
ENSRNA050005716,GO:0000348,mRNA branch site recognition,Recognition of the pre-mRNA branch site sequence by components of the assembling spliceosome.,IEA,biological_process
ENSRNA050005716,GO:0005686,U2 snRNP,"A ribonucleoprotein complex that contains small nuclear RNA U2, a heptameric ring of Sm proteins, as well as several proteins that are unique to the U2 snRNP, most of which remain associated with the U2 snRNA both while the U2 snRNP is free or assembled into a series of spliceosomal complexes.",IEA,cellular_component
ENSRNA050005718,GO:0006396,RNA processing,Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules.,IEA,biological_process
ENSRNA050005718,GO:0005730,nucleolus,"A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome.",IEA,cellular_component
ENSRNA050005720,GO:0006396,RNA processing,Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules.,IEA,biological_process
